"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"04.02.2015 06:00";"21.6";"50";"-0.5";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 07:00";"21.5";"54";"-0.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 08:00";"21.0";"53";"1.1";"72";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 09:00";"20.7";"52";"1.6";"67";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 10:00";"20.5";"52";"2.5";"65";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 11:00";"20.3";"51";"3.3";"63";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 12:00";"20.3";"50";"3.7";"63";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 13:00";"20.2";"50";"3.9";"64";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 14:00";"19.9";"50";"3.9";"67";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 15:00";"19.9";"51";"4.9";"66";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 16:00";"19.7";"51";"4.9";"69";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 17:00";"19.6";"51";"5.2";"69";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 18:00";"19.4";"47";"4.5";"73";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 19:00";"23.3";"53";"4.5";"74";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 20:00";"23.5";"57";"4.0";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 21:00";"23.4";"55";"3.4";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 22:00";"23.9";"52";"3.5";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 23:00";"23.6";"53";"3.2";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 00:00";"23.2";"53";"3.5";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 01:00";"22.2";"55";"3.7";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 02:00";"21.5";"57";"3.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 03:00";"21.0";"57";"2.9";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 04:00";"20.8";"57";"3.1";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 05:00";"20.5";"57";"2.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 06:00";"20.3";"57";"2.6";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 07:00";"20.3";"60";"2.1";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 08:00";"19.9";"59";"2.0";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 09:00";"19.7";"58";"2.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 10:00";"19.7";"56";"4.7";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 11:00";"19.6";"55";"6.3";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 12:00";"19.4";"55";"8.9";"70";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 13:00";"19.2";"55";"10.9";"65";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 14:00";"19.2";"54";"11.9";"60";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 15:00";"19.2";"54";"11.4";"59";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 16:00";"19.1";"54";"11.1";"60";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 17:00";"18.9";"54";"10.2";"63";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 18:00";"18.9";"51";"9.1";"66";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 19:00";"21.3";"50";"8.7";"67";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 20:00";"23.8";"52";"7.8";"74";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 21:00";"24.0";"51";"7.7";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 22:00";"24.4";"49";"6.4";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"05.02.2015 23:00";"24.8";"50";"5.6";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 00:00";"24.8";"50";"4.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 01:00";"24.0";"51";"4.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 02:00";"23.3";"52";"6.2";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 03:00";"22.5";"53";"6.4";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 04:00";"22.0";"53";"6.5";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 05:00";"21.6";"53";"6.6";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 06:00";"21.4";"53";"6.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 07:00";"21.4";"57";"7.3";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 08:00";"20.8";"57";"7.8";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 09:00";"20.4";"57";"7.3";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 10:00";"20.1";"57";"7.1";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 11:00";"19.9";"56";"6.7";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 12:00";"19.7";"55";"6.5";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 13:00";"19.7";"55";"6.7";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 14:00";"19.6";"54";"6.8";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 15:00";"19.4";"54";"6.6";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 16:00";"19.2";"53";"3.1";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 17:00";"19.1";"53";"1.8";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 18:00";"18.6";"50";"0.6";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 19:00";"21.6";"48";"0.5";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 20:00";"23.8";"54";"0.7";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 21:00";"24.9";"50";"0.7";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 22:00";"24.1";"50";"0.5";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"06.02.2015 23:00";"23.6";"52";"0.5";"76";"---";"---";"---";"---";"---";"---";"---";"---"
